Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
One-pot WEEKNIGHT meals | batch-friendly!,2024-11-20,433901,16503,People & Blogs,267,22,YoutubeAPI,56
The most popular Persian soup (high protein!),2024-11-20,594612,29868,People & Blogs,299,22,YoutubeAPI,57
Skip the café — make this at home! ☕️💫,2024-11-20,285208,15872,People & Blogs,106,22,YoutubeAPI,58
The best way to use up leftover rice 🍚,2024-11-20,1846908,59771,People & Blogs,471,22,YoutubeAPI,59
"The BEST Bakery-Style Chocolate Chip Cookies (egg-free, dairy-free!) 🍪",2024-11-20,380924,15472,People & Blogs,472,22,YoutubeAPI,60
MEAL PREP | 10 healthy meals in 1 HOUR (+ PDF guide),2024-11-20,1053525,38027,People & Blogs,883,22,YoutubeAPI,61
10 life lessons (for a healthy mind + body) ✨,2024-11-20,565173,31219,People & Blogs,1092,22,YoutubeAPI,62
the weirdest coffee combo… that works! 😎,2024-11-20,420278,20375,People & Blogs,142,22,YoutubeAPI,63
the ultimate CURRY NOODLE SOUP (ft.@RainbowPlantLife),2024-11-20,237331,11269,People & Blogs,498,22,YoutubeAPI,64
This mindset helped me more than once 💭,2024-11-20,2021656,109022,People & Blogs,665,22,YoutubeAPI,65
HIGH PROTEIN MEALS | 30g+ protein meals for 30 days!,2024-11-20,592715,23952,People & Blogs,514,22,YoutubeAPI,66
POTATO SALADS - 3 ways!,2024-11-20,363815,19238,People & Blogs,336,22,YoutubeAPI,67
the BEST meals 🤤,2024-11-20,448950,23623,People & Blogs,154,22,YoutubeAPI,68
How to enjoy chopping veggies 🔪🥕,2024-11-20,1421190,63765,People & Blogs,434,22,YoutubeAPI,69
Why THIS is my favourite cuisine 💛,2024-11-20,4837468,196514,People & Blogs,1677,22,YoutubeAPI,70
ONE SIMPLE HABIT to improve any relationship ❤️,2024-11-20,588987,32676,People & Blogs,819,22,YoutubeAPI,71
Your new FAVORITE salad,2024-11-20,964799,68075,People & Blogs,356,22,YoutubeAPI,72
PASTA perfect for weeknight dinner (plant-based) 🍝,2024-11-20,221964,9680,People & Blogs,221,22,YoutubeAPI,73
"7-ingredient meals (minimal ingredients, MAX flavor) 7️⃣ 🎉",2024-11-20,275951,13503,People & Blogs,364,22,YoutubeAPI,74
"Level-up your LUNCH (plant-based, make-ahead, to-go) 🌟",2024-11-20,387760,15932,People & Blogs,304,22,YoutubeAPI,75
A day in the life (on our road trip adventure!) 🚐🦘,2024-11-20,253392,12753,People & Blogs,594,22,YoutubeAPI,76
High protein anti-inflammatory noodle soup (aush reshteh) 👩🏻‍🍳,2024-11-20,916612,35755,People & Blogs,823,22,YoutubeAPI,77
"ONE-POT meals (plant-based, easy, cozy)",2024-11-20,484536,19385,People & Blogs,467,22,YoutubeAPI,78
Easy NO-BAKE treats (perfect for the holidays) 🎄,2024-11-20,316410,16075,People & Blogs,329,22,YoutubeAPI,79
Full day of easy home-cooked meals 🎉,2024-11-20,576071,20299,People & Blogs,6657,22,YoutubeAPI,80
Micro habits that improved my life ✨,2024-11-20,1043766,39492,People & Blogs,756,22,YoutubeAPI,81
The BEST cucumber salad 🥒,2024-11-20,2084234,95116,People & Blogs,555,22,YoutubeAPI,82
Become better at talking to people 🗣️,2024-11-20,1290146,69691,People & Blogs,992,22,YoutubeAPI,83
If I could make only 1 noodle dish for the rest of my life… 🥢,2024-11-20,821213,40247,People & Blogs,694,22,YoutubeAPI,84
Easy STUDENT recipes (MEAL PREP friendly!) 🍱,2024-11-20,756374,31111,People & Blogs,377,22,YoutubeAPI,85
"A WEEK IN MY LIFE | cooking, cleaning, and computer disaster 🫣",2024-11-20,371630,11632,People & Blogs,502,22,YoutubeAPI,86
SLEEP BETTER with these evening snacks 😴,2024-11-20,942098,38299,People & Blogs,592,22,YoutubeAPI,87
Plant-based MEAL PLANNING | Nourish Method tutorial 🌈,2024-11-20,255498,13157,People & Blogs,1288,22,YoutubeAPI,88
A full day of easy at-home meals 🍜,2024-11-20,615842,22660,People & Blogs,5725,22,YoutubeAPI,89
"DAYS IN THE LIFE | home alone, it's just you and me 😉",2024-11-20,552278,22335,People & Blogs,1126,22,YoutubeAPI,90
15-minute meals when you don’t feel like cooking (8 ingredients or less!),2024-11-20,663082,31734,People & Blogs,441,22,YoutubeAPI,91
How to find meaning (in an fast-changing world 🤖),2024-11-20,188552,9845,People & Blogs,497,22,YoutubeAPI,92
PANCAKES from around the world (eggless & dairy-free!) 🌎,2024-11-20,267003,13187,People & Blogs,594,22,YoutubeAPI,93
Master SPICES & HERBS (antioxidant powerhouses!) 🌶️🌿,2024-11-20,232295,12590,People & Blogs,356,22,YoutubeAPI,94
The biggest barrier to happiness + success 🫠,2024-11-20,470702,22404,People & Blogs,605,22,YoutubeAPI,95
3 weeknight DINNER ideas (plant-based!)💡,2024-11-20,484450,21045,People & Blogs,341,22,YoutubeAPI,96
3 easy BREAKFASTS to keep on REPEAT! ♻️,2024-11-20,607261,26052,People & Blogs,650,22,YoutubeAPI,97
Life is short (how to spend it wisely) ⏱,2024-11-20,1651370,58380,People & Blogs,1463,22,YoutubeAPI,98
The ROUTINE that makes me happy & effective ✔️,2024-11-20,759674,33377,People & Blogs,568,22,YoutubeAPI,99
