Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
3 weeknight DINNER ideas (plant-based!)💡,2025-03-22,484867,21049,People & Blogs,341,22,YoutubeAPI,941
3 easy BREAKFASTS to keep on REPEAT! ♻️,2025-03-22,607795,26054,People & Blogs,649,22,YoutubeAPI,942
Life is short (how to spend it wisely) ⏱,2025-03-22,1651736,58365,People & Blogs,1463,22,YoutubeAPI,943
Frank Luntz on the challenge Trump’s administration is facing right now,2025-03-22,76563,974,News & Politics,919,25,YoutubeAPI,944
Canadian Prime Minister: Trump wants to break us,2025-03-22,40357,2041,People & Blogs,331,22,YoutubeAPI,945
Green card holder fears crossing US border,2025-03-22,17153,550,People & Blogs,93,22,YoutubeAPI,946
Bash on what the education secretary told her,2025-03-22,24350,841,News & Politics,111,25,YoutubeAPI,947
Fareed on Trump admin’s misguided efforts,2025-03-22,22361,1328,News & Politics,110,25,YoutubeAPI,948
Fareed’s Take: Trump’s misguided push for a ‘manufacturing comeback’,2025-03-22,630462,13333,News & Politics,3840,25,YoutubeAPI,949
Germany unlocks billions for its military in seismic shift,2025-03-22,23112,1228,News & Politics,197,25,YoutubeAPI,950
This Florida town was built to withstand high winds. See how it worked,2025-03-22,25418,1279,News & Politics,78,25,YoutubeAPI,951
See Pope Francis' first public appearance since being admitted to hospital,2025-03-22,50653,783,News & Politics,515,25,YoutubeAPI,952
Pope Francis makes first public appearance in weeks,2025-03-22,17110,783,News & Politics,85,25,YoutubeAPI,953
Tesla in Trouble,2025-03-22,22060,345,News & Politics,514,25,YoutubeAPI,954
One Thing: Tesla in Trouble,2025-03-22,14350,196,News & Politics,155,25,YoutubeAPI,955
Comedians react to lawmakers’ heated moments at town halls,2025-03-22,132480,2640,News & Politics,472,25,YoutubeAPI,956
Comedians react to Trump’s controversial deportation flights,2025-03-22,29198,988,News & Politics,101,25,YoutubeAPI,957
Trump wants a ‘golden dome’ to defend the entire US,2025-03-22,433295,2490,News & Politics,5044,25,YoutubeAPI,958
House suspected of containing homemade fireworks explodes,2025-03-22,26726,736,News & Politics,39,25,YoutubeAPI,959
Tate brothers return to Romania to report to police,2025-03-22,23201,572,News & Politics,252,25,YoutubeAPI,960
Flights have resumed at Heathrow. Here’s what you should know,2025-03-22,7506,196,People & Blogs,3,22,YoutubeAPI,961
"""The View"" Host: Dems risk ""boy who cried wolf"" with crisis talk",2025-03-22,66428,776,News & Politics,1114,25,YoutubeAPI,962
"Comedian George Wallace: I won't curse, but Musk better not take my money",2025-03-22,92124,1422,News & Politics,1002,25,YoutubeAPI,963
What 2024 taught Wisconsin Democrats,2025-03-22,18956,683,News & Politics,72,25,YoutubeAPI,964
'Leave these people alone': Comedian George Wallace slams potential Social Security cuts,2025-03-22,98342,1338,News & Politics,1294,25,YoutubeAPI,965
A Sports Bar Where Barriers (and Brackets) Are Broken,2025-03-22,2173,30,News & Politics,10,25,YoutubeAPI,966
5 Good Things: A Sports Bar Where Barriers (and Brackets) Are Broken,2025-03-22,2857,36,News & Politics,8,25,YoutubeAPI,967
White House site contradicts Trump on deportation flights,2025-03-22,37752,1411,News & Politics,263,25,YoutubeAPI,968
"Pres. Trump revokes security clearances of Biden, Harris & others",2025-03-22,169389,1589,News & Politics,3025,25,YoutubeAPI,969
ICE tells student protester to surrender,2025-03-22,103661,5681,News & Politics,2004,25,YoutubeAPI,970
Ex-ESPN analyst appears to take swipe at former colleagues over Jackie Robinson,2025-03-22,71458,4114,News & Politics,227,25,YoutubeAPI,971
CNN speaks to Russia’s ‘merchant of death’,2025-03-22,18862,380,News & Politics,82,25,YoutubeAPI,972
Hear what Trump told Stephen A. Smith before running for president in 2016,2025-03-22,140604,1291,News & Politics,702,25,YoutubeAPI,973
Severe Storms Threaten South Again,2025-03-22,7555,225,People & Blogs,22,22,YoutubeAPI,974
Hear what Trump told Stephen A. Smith before running for President in 2016,2025-03-22,58186,1851,News & Politics,149,25,YoutubeAPI,975
"Heated deportation hearing, government shakeup latest, judge loads handguns & more",2025-03-22,14890,92,News & Politics,69,25,YoutubeAPI,976
Official fired by Trump responds to WH’s threat of court action,2025-03-22,167290,2283,News & Politics,1126,25,YoutubeAPI,977
Backpacker explains viral monkey video,2025-03-22,13911,332,News & Politics,32,25,YoutubeAPI,978
"DoE carved up, Heathrow flights resume, Sudan army takes control & more",2025-03-22,4548,49,News & Politics,68,25,YoutubeAPI,979
Trump announces new Boeing F-47 US fighter jet. Hear military expert’s reaction,2025-03-22,623128,5475,News & Politics,8304,25,YoutubeAPI,980
Why this one house survived the Palisades fire,2025-03-22,17438,673,News & Politics,30,25,YoutubeAPI,981
Judge films himself loading guns in unusual dissent video,2025-03-22,42063,669,People & Blogs,372,22,YoutubeAPI,982
See Canadian official’s response to Trump’s verbal attack on Canada,2025-03-22,1695927,24399,News & Politics,12914,25,YoutubeAPI,983
"Least expensive, high protein egg swap",2025-03-22,5673,190,Howto & Style,13,26,YoutubeAPI,984
"'Delusional' to believe peace can come without a Palestinian state, Egypt says",2025-03-22,30220,373,News & Politics,502,25,YoutubeAPI,985
"DOJ deportations showdown, Gaza ceasefire developments, Heathrow fire update & more",2025-03-22,2665,35,News & Politics,11,25,YoutubeAPI,986
AOC and Bernie Sanders take aim at Republicans and Democrats during rally tour,2025-03-22,158973,4323,News & Politics,2568,25,YoutubeAPI,987
